MAL_ID,Name,Score,Genres,Type,Episodes,Ranked,Popularity,Members,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,236,265,468279,56237,65298,70881,39446,13704,5107,1842,675,292,486
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,37,637,228484,39845,33317,25800,11782,3575,1393,448,163,106,490
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,220,345,386195,38050,50380,57604,33295,10220,3867,1167,372,176,314
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,1397,2411,44334,2958,3683,6232,6557,2832,1310,426,129,71,59
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,333,197,566538,77192,82148,91288,54906,22369,9462,4322,1737,992,1067
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,3687,940,158227,5266,8051,15537,20391,12617,7610,3688,1502,825,619
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,2226,2360,46428,2021,3077,5826,7079,3737,1795,433,172,59,46
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,2116,1083,135747,5425,9097,17037,20033,10160,5221,1678,591,291,214
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,6823,2419,43960,1464,2043,3490,5450,5008,3621,2115,992,689,415
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,2529,2232,51022,1644,3245,6253,7975,4261,2092,579,211,89,87
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,3012,1465,94793,3124,5402,10587,13835,8066,4414,1627,609,287,206
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,3206,1901,65139,2107,4369,8991,11644,6182,3050,1249,451,213,113
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,5738,4259,14187,174,271,762,1605,1252,814,297,108,50,37
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,8501,4073,15779,166,259,699,1335,1371,1135,698,343,222,133
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,221,570,255668,23840,31103,30926,17566,6598,3000,1173,446,225,235
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,3455,1886,65360,1451,2733,5800,7810,4354,2327,1012,381,229,168
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,1804,332,402646,20499,32733,55560,58689,29800,14855,5772,2124,1159,816
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,1120,742,198007,11469,16051,25109,23075,11012,5331,1919,652,280,256
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,2761,891,167615,7515,11105,19858,25101,15032,8167,3203,1092,595,378
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,4589,1852,67491,1542,2446,5172,7807,5472,3340,1493,645,376,242
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,5274,1146,128788,3464,5632,11499,19352,14791,8839,4070,1863,1029,730
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,1782,846,176775,7868,12729,23021,23961,11535,5531,2028,737,387,292
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,1146,1479,93768,5500,9205,15835,14172,5733,2345,760,255,95,97
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,555,554,262980,18422,27283,35693,25478,10326,5162,1797,707,406,412
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,1325,940,156661,6677,11140,19570,17421,7816,3800,1554,643,316,244
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,1965,622,231668,8654,15253,29392,34019,16081,7534,2521,863,395,234
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,6646,5061,9299,113,162,372,652,627,412,261,108,62,31
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,1146,322,411230,17675,36500,64969,56993,21492,9171,3035,991,448,329
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,452,571,254465,24023,37507,45884,30305,11085,4417,1332,442,194,164
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,579,639,227927,14139,30146,45246,29917,9377,3127,816,235,115,129
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,1158,1640,81446,5560,7151,11074,11158,5331,2357,618,214,115,104
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,2348,2523,40602,926,1667,3344,3838,1827,955,424,184,94,71
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,1828,1550,88890,3193,5032,9945,10737,4999,2363,736,276,140,112
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,551,2075,56981,4189,6809,9368,6267,2220,864,250,83,53,71
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,3231,600,240751,8852,14660,26443,32343,18951,10530,5019,2184,1323,1088
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,867,1427,97216,5395,7488,12922,11417,4169,1598,505,179,59,104
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,511,1948,62655,4241,8768,11589,6745,2121,819,262,87,38,50
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,677,2444,43308,2957,5210,7398,5147,1817,748,236,82,36,47
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,4498,4660,11460,275,461,1054,1788,1273,630,193,73,30,22
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,2361,2791,33687,1167,2602,5380,5460,2544,1163,497,180,58,41
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,655,2159,53822,4021,5901,7986,5578,2118,896,392,152,65,97
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,5111,2941,30758,622,1062,2740,4440,2977,1601,930,372,182,115
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,1084,2773,34221,2400,3571,5995,4692,1865,824,376,147,69,54
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,5049,3387,23161,530,892,2239,3834,2824,1462,649,221,93,52
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,4632,3588,20794,430,735,1589,2272,1406,796,487,240,90,89
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,984,1118,132208,9965,13704,21396,18315,7559,3460,1507,518,210,175
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,897,2512,41030,3190,4480,6953,5766,2210,921,307,127,54,50
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,2228,3043,28862,788,1633,3412,3998,1801,813,304,100,43,39
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,850,1057,140346,11353,15863,22505,17695,7560,3710,1701,762,379,404
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,2687,1530,90208,5979,8245,12662,12913,6928,3887,2752,1300,865,584
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,1018,2714,35670,1815,2212,3129,2892,1403,706,299,127,87,66
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,1396,2109,55463,3208,4873,8426,8118,3463,1607,696,279,129,104
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26,795,995,149528,7078,12558,20122,14844,5886,2579,825,286,140,109
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,1698,1381,101495,4076,7287,12622,12897,6091,3053,1129,391,211,191
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26,2308,2370,46018,1673,3271,5798,6647,3441,1676,706,242,128,101
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,2785,2162,53508,2198,3135,5368,7030,4152,2306,783,270,127,98
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,2230,563,259381,15057,20060,31042,33295,19368,10463,4988,2039,1105,803
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,26,1634,1529,89533,4497,7282,12321,12618,6389,3227,1069,426,187,180
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,1941,4551,12006,407,578,1068,1283,664,379,76,28,18,16
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24,2641,2182,53189,2450,3244,5415,6299,3891,2210,923,322,216,149
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,13,6088,3665,20032,293,487,1201,2242,1965,1301,521,206,135,95
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,51,1027,2293,48623,3054,3590,4926,4575,2356,1150,531,184,131,125
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,2625,2817,32988,1207,1611,2900,3598,2020,1075,433,186,101,56
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3,2367,4619,11591,465,673,1208,1470,746,344,141,42,20,14
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,24,4381,1965,62106,1383,2510,5383,8232,5547,3386,1514,575,283,185
110,Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,52,1195,4086,15608,653,1051,1978,1930,768,313,85,29,12,26
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,52,4318,4519,12222,288,424,929,1531,1205,635,217,90,32,29
112,Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8,10648,5542,7392,58,65,159,332,474,547,390,306,258,206
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,26,1980,3577,20924,602,1185,2345,2383,1088,624,190,77,32,38
114,Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26,631,1279,112001,6849,9462,13308,9330,3951,1749,777,340,190,181
115,El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13,4315,4961,9684,213,339,820,1383,944,460,158,57,25,19
116,El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26,3735,4198,14603,333,526,1268,2070,1145,604,194,75,28,27
117,El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,7,2240,4129,15406,472,812,1707,2079,1016,451,116,31,17,21
118,El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,4,4239,5421,7745,171,312,708,1243,772,386,135,41,14,9
119,Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13,5567,2887,31774,706,1106,2476,4634,3714,2099,946,430,219,135
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,1058,314,420919,31688,40622,59206,56487,25501,12518,4273,1538,810,684
121,Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,337,52,1151621,124399,176993,211302,133850,44438,16255,5872,1769,970,1150
122,Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,585,1519,90884,7554,8073,10115,8601,4017,2128,662,301,147,118
123,Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,1172,1434,96861,6725,7328,10308,10558,5267,2796,1106,434,249,184
124,Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,4,4189,4101,15576,844,938,1382,1942,1311,813,459,229,137,86
125,Futakoi,6.49,"Comedy, Romance, School",TV,13,5946,2900,31358,554,951,2189,3951,3320,2136,955,400,199,123
126,Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13,3968,3071,28297,560,1097,2174,3058,2019,1125,534,209,112,72
127,Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,3767,3717,19351,368,734,1738,2740,1575,850,289,121,54,37
128,Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,6,4489,5026,9399,148,364,769,1295,910,484,166,51,34,19
129,Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,1315,2359,46228,2047,2974,4914,4998,2227,1164,477,160,95,84
130,Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25,1858,3071,28277,991,1565,3008,3394,1533,687,239,91,41,44
131,Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,26,1840,3724,19393,716,1020,1877,2162,944,439,157,62,20,24
132,GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,1249,1339,105139,4256,7697,13542,13161,5666,2726,877,320,136,108
133,Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12,7303,1333,106208,2977,4121,8463,13923,12367,8440,4931,2663,2082,1929
134,Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,13,1821,920,161010,5251,9781,18687,18770,9310,4497,1770,641,294,273
135,Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,75,400,1287,111164,8488,12124,15895,10584,4099,1818,520,171,84,121
136,Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62,143,319,416227,47419,54430,58285,30731,9392,3638,1134,429,258,756
137,Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen",OVA,8,205,1375,101579,11508,14218,16660,8671,2419,805,184,76,39,337
138,Hunter x Hunter: Greed Island,8.21,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,8,299,1244,116633,12763,16102,20072,11433,3505,1179,386,160,131,300
139,Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,14,230,1288,111292,12905,16044,18455,9667,2997,1048,351,155,111,304
141,Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,12,7618,4923,9900,95,146,451,957,909,710,314,129,76,46
142,Kamikaze Kaitou Jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44,1746,2363,46140,2675,3492,5692,6523,3509,1692,538,167,101,54
143,Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,12,4169,2000,60077,2385,2784,4804,6447,4552,2848,1593,750,414,297
144,Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",TV,13,3174,2105,55784,2080,2785,5100,6498,3833,2084,886,450,251,235
145,Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,26,1254,875,170539,6330,11119,18489,16634,7499,3331,1230,428,262,209
146,Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,12,4625,2145,54222,1514,2347,4842,7311,5021,3079,1446,607,343,197
147,Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life",TV,14,2604,1187,123752,6057,9127,14332,14635,8360,4503,2468,1128,771,691
148,Kita e.: Diamond Dust Drops,6.62,"Drama, Romance, Slice of Life",TV,12,5305,5411,7823,106,151,400,688,480,310,124,75,17,20
149,Loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,12,4203,1215,121063,5825,7084,10721,14257,10659,6853,3832,1732,1173,1081
150,Blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,50,1116,431,317767,16366,23972,36825,34360,16234,8377,3281,1140,595,452
151,Re: Cutey Honey,7.12,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",OVA,3,3130,3430,22697,433,903,2314,2742,1446,651,223,98,38,42
152,Solty Rei,7.28,"Action, Sci-Fi, Super Power",TV,24,2447,3233,25666,730,1303,2914,3287,1692,853,286,111,46,37
153,Juuni Kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45,464,1266,113627,6014,8974,10809,6879,2926,1462,616,277,146,154
154,Shaman King,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,64,853,477,294021,22092,27013,45643,41073,16854,6947,2045,797,342,254
155,X/1999,6.59,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",Movie,1,5420,2904,31227,1096,1596,2816,3780,3072,1868,1193,567,349,200
156,X,7.43,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,24,1804,1818,69684,3338,4772,7876,8060,4254,2047,893,317,203,138
157,Mahou Sensei Negima!,6.98,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,26,3708,1208,121120,3438,5581,11739,16816,10244,5568,2566,981,524,346
158,Maria-sama ga Miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,13,2178,2170,53511,1570,2405,4446,4901,2611,1342,521,234,105,142
159,Boukyaku no Senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",TV,24,6657,3975,16632,218,391,731,1364,1202,838,464,236,135,90
160,"Ima, Soko ni Iru Boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13,1140,1309,108100,4012,6505,9669,7286,3490,1636,804,376,170,220
161,Peace Maker Kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen",TV,24,2186,2251,50151,1565,2755,5455,6245,3005,1468,560,183,85,66
162,Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,26,3863,3626,20422,601,939,1793,2671,1814,1058,409,165,71,55
163,Power Stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,26,6015,5874,6378,150,182,393,863,763,483,190,65,31,30
164,Mononoke Hime,8.72,"Action, Adventure, Fantasy",Movie,1,40,91,876813,184173,167754,131050,57874,17052,5570,1660,545,283,702
165,RahXephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,26,1820,1395,100343,3247,5815,10129,10104,4981,2400,1150,424,228,179
166,Samurai 7,7.48,"Historical, Mecha, Samurai, Sci-Fi",TV,26,1646,1295,110124,4415,8054,15364,16074,6890,3029,1018,387,167,126
167,Scrapped Princess,7.41,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",TV,24,1861,1637,81917,1831,4724,10148,10497,4387,2085,625,193,92,97
168,s.CRY.ed,7.38,"Action, Sci-Fi, Adventure, Super Power, Drama",TV,26,1969,1787,72311,2742,4865,8857,9983,4771,2331,880,307,163,92
169,Shingetsutan Tsukihime,6.91,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",TV,12,3970,1086,135721,3795,6704,13229,16972,9908,5351,2881,1453,933,895
170,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",TV,101,92,728,201203,24041,26797,25578,12645,4036,1603,493,215,125,443
171,Strange Dawn,6.35,"Adventure, Drama, Fantasy",TV,13,6634,7014,4112,28,58,177,333,293,180,71,28,20,18
173,Tactics,7.23,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",TV,25,2668,2670,36569,929,1528,3007,3854,2149,1192,418,149,56,34
174,Tenjou Tenge,6.93,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",TV,24,3911,934,158482,4525,7930,16479,23495,14073,7564,3713,1556,769,479
175,Tokyo Underground,6.63,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,26,5230,3254,25243,380,675,1717,3071,2310,1460,547,216,113,70
176,Triangle Heart: Sweet Songs Forever,6.19,"Adventure, Romance",OVA,4,7381,5991,6030,85,110,276,582,574,423,196,86,37,21
177,Tsubasa Chronicle,7.55,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",TV,26,1437,759,195978,9325,13441,22827,22477,10508,5296,2054,818,338,272
178,Ultra Maniac,7.18,"Comedy, Magic, Romance, School, Shoujo",TV,26,2871,3103,27718,886,1372,2664,3686,2002,1091,320,133,73,44
179,Ultra Maniac OVA,6.69,"Comedy, Magic, Romance, School",OVA,1,4978,6509,4941,125,163,335,650,522,278,76,27,22,14
180,Vandread,7.21,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13,2723,1771,73554,2434,4688,9516,12448,6101,2829,1032,427,236,132
181,Vandread: The Second Stage,7.42,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13,1850,2326,47649,2142,4084,7875,8786,3742,1571,500,204,73,44
182,Tenkuu no Escaflowne,7.7,"Adventure, Psychological, Romance, Fantasy, Mecha",TV,26,1037,1157,127239,6311,10107,16442,14572,6125,2595,891,320,144,109
183,Whistle!,7.39,"School, Shounen, Sports",TV,39,1939,4545,12063,452,746,1505,1811,765,332,110,42,27,26
184,Xenosaga The Animation,6.37,"Action, Mecha, Sci-Fi, Shounen, Space",TV,12,6577,3838,17824,282,426,1041,1995,1781,1191,583,263,116,78
185,Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports",TV,26,231,638,229315,22426,29409,37279,20081,5685,2073,633,209,149,225
186,Initial D Second Stage,8.12,"Action, Cars, Drama, Seinen, Sports",TV,13,391,1095,134642,12292,18903,29970,17122,4454,1244,293,96,33,62
